,TRACT,STATECOUNTYFP
0,01001020100,01001
1,01001020200,01001
2,01001020300,01001
3,01001020400,01001
4,01001020501,01001
5,01001020502,01001
6,01001020503,01001
7,01001020600,01001
8,01001020700,01001
9,01001020801,01001
10,01001020803,01001
11,01001020804,01001
12,01001020805,01001
13,01001020901,01001
14,01001020902,01001
15,01001021000,01001
16,01001021100,01001
17,01003010100,01003
18,01003010200,01003
19,01003010300,01003
20,01003010400,01003
21,01003010500,01003
22,01003010600,01003
23,01003010704,01003
24,01003010706,01003
25,01003010707,01003
26,01003010708,01003
27,01003010709,01003
28,01003010710,01003
29,01003010711,01003
30,01003010800,01003
31,01003010903,01003
32,01003010904,01003
33,01003010906,01003
34,01003010907,01003
35,01003010908,01003
36,01003011000,01003
37,01003011102,01003
38,01003011103,01003
39,01003011104,01003
40,01003011201,01003
41,01003011202,01003
42,01003011300,01003
43,01003011409,01003
44,01003011410,01003
45,01003011411,01003
46,01003011412,01003
47,01003011413,01003
48,01003011414,01003
49,01003011415,01003
50,01003011416,01003
51,01003011417,01003
52,01003011418,01003
53,01003011419,01003
54,01003011501,01003
55,01003011503,01003
56,01003011504,01003
57,01003011601,01003
58,01003011603,01003
59,01003011604,01003
60,01005950100,01005
61,01005950200,01005
62,01005950300,01005
63,01005950400,01005
64,01005950500,01005
65,01005950600,01005
66,01005950700,01005
67,01005950800,01005
68,01005950900,01005
69,01007010001,01007
70,01007010005,01007
71,01007010006,01007
72,01007010007,01007
73,01007010008,01007
74,01007010009,01007
75,01007010010,01007
76,01007010011,01007
77,01009050103,01009
78,01009050104,01009
79,01009050105,01009
80,01009050106,01009
81,01009050107,01009
82,01009050200,01009
83,01009050301,01009
84,01009050302,01009
85,01009050400,01009
86,01009050501,01009
87,01009050502,01009
88,01009050601,01009
89,01009050603,01009
90,01009050604,01009
91,01009050701,01009
92,01009050702,01009
93,01011952100,01011
94,01011952201,01011
95,01011952202,01011
96,01011952500,01011
97,01013952700,01013
98,01013952800,01013
99,01013952900,01013
100,01013953000,01013
101,01013953100,01013
102,01013953200,01013
103,01013953300,01013
104,01013953400,01013
105,01013953500,01013
106,01015000200,01015
107,01015000300,01015
108,01015000400,01015
109,01015000500,01015
110,01015000600,01015
111,01015000700,01015
112,01015000800,01015
113,01015000900,01015
114,01015001000,01015
115,01015001101,01015
116,01015001102,01015
117,01015001103,01015
118,01015001201,01015
119,01015001202,01015
120,01015001300,01015
121,01015001400,01015
122,01015001501,01015
123,01015001502,01015
124,01015001600,01015
125,01015001700,01015
126,01015001801,01015
127,01015001802,01015
128,01015002001,01015
129,01015002002,01015
130,01015002101,01015
131,01015002102,01015
132,01015002104,01015
133,01015002105,01015
134,01015002200,01015
135,01015002300,01015
136,01015002400,01015
137,01015002502,01015
138,01015002503,01015
139,01015002504,01015
140,01015002600,01015
141,01015981901,01015
142,01015981902,01015
143,01017953800,01017
144,01017953900,01017
145,01017954001,01017
146,01017954002,01017
147,01017954200,01017
148,01017954300,01017
149,01017954600,01017
150,01017954700,01017
151,01017954800,01017
152,01019955701,01019
153,01019955702,01019
154,01019955801,01019
155,01019955802,01019
156,01019955900,01019
157,01019956000,01019
158,01019956101,01019
159,01019956102,01019
160,01021060101,01021
161,01021060103,01021
162,01021060104,01021
163,01021060200,01021
164,01021060300,01021
165,01021060401,01021
166,01021060403,01021
167,01021060404,01021
168,01021060500,01021
169,01021060600,01021
170,01021060701,01021
171,01021060702,01021
172,01023956700,01023
173,01023956800,01023
174,01023956900,01023
175,01023957000,01023
176,01025957500,01025
177,01025957601,01025
178,01025957603,01025
179,01025957604,01025
180,01025957700,01025
181,01025957800,01025
182,01025957901,01025
183,01025957902,01025
184,01025958003,01025
185,01027958900,01027
186,01027959000,01027
187,01027959100,01027
188,01027959200,01027
189,01029959500,01029
190,01029959600,01029
191,01029959700,01029
192,01029959800,01029
193,01031010100,01031
194,01031010200,01031
195,01031010300,01031
196,01031010400,01031
197,01031010500,01031
198,01031010600,01031
199,01031010700,01031
200,01031010800,01031
201,01031010900,01031
202,01031011000,01031
203,01031011100,01031
204,01031011203,01031
205,01031011204,01031
206,01031011205,01031
207,01031011206,01031
208,01031011300,01031
209,01033020100,01033
210,01033020200,01033
211,01033020300,01033
212,01033020400,01033
213,01033020500,01033
214,01033020600,01033
215,01033020703,01033
216,01033020704,01033
217,01033020705,01033
218,01033020706,01033
219,01033020801,01033
220,01033020802,01033
221,01033020901,01033
222,01033020902,01033
223,01033021000,01033
224,01035960200,01035
225,01035960300,01035
226,01035960400,01035
227,01035960500,01035
228,01035960600,01035
229,01037961000,01037
230,01037961100,01037
231,01037961200,01037
232,01039961600,01039
233,01039961700,01039
234,01039961800,01039
235,01039961900,01039
236,01039962000,01039
237,01039962100,01039
238,01039962300,01039
239,01039962400,01039
240,01039962500,01039
241,01039962600,01039
242,01039962700,01039
243,01039962800,01039
244,01039962900,01039
245,01039963000,01039
246,01041963400,01041
247,01041963500,01041
248,01041963600,01041
249,01041963700,01041
250,01041963800,01041
251,01041963900,01041
252,01043964100,01043
253,01043964201,01043
254,01043964202,01043
255,01043964300,01043
256,01043964400,01043
257,01043964500,01043
258,01043964600,01043
259,01043964700,01043
260,01043964800,01043
261,01043964901,01043
262,01043964902,01043
263,01043965001,01043
264,01043965002,01043
265,01043965100,01043
266,01043965200,01043
267,01043965300,01043
268,01043965401,01043
269,01043965402,01043
270,01043965501,01043
271,01043965502,01043
272,01043965600,01043
273,01043965700,01043
274,01045020000,01045
275,01045020100,01045
276,01045020200,01045
277,01045020300,01045
278,01045020400,01045
279,01045020500,01045
280,01045020700,01045
281,01045020801,01045
282,01045020802,01045
283,01045021101,01045
284,01045021102,01045
285,01045021200,01045
286,01045021300,01045
287,01045021400,01045
288,01047956101,01047
289,01047956102,01047
290,01047956201,01047
291,01047956202,01047
292,01047956300,01047
293,01047956400,01047
294,01047956500,01047
295,01047956600,01047
296,01047956701,01047
297,01047956702,01047
298,01047956800,01047
299,01047956900,01047
300,01047957000,01047
301,01047957100,01047
302,01047957200,01047
303,01047957301,01047
304,01047957302,01047
305,01049960101,01049
306,01049960102,01049
307,01049960200,01049
308,01049960301,01049
309,01049960302,01049
310,01049960303,01049
311,01049960401,01049
312,01049960402,01049
313,01049960500,01049
314,01049960601,01049
315,01049960602,01049
316,01049960701,01049
317,01049960702,01049
318,01049960703,01049
319,01049960800,01049
320,01049960900,01049
321,01049961000,01049
322,01049961100,01049
323,01049961200,01049
324,01049961300,01049
325,01049961400,01049
326,01051030101,01051
327,01051030102,01051
328,01051030103,01051
329,01051030200,01051
330,01051030300,01051
331,01051030401,01051
332,01051030402,01051
333,01051030500,01051
334,01051030600,01051
335,01051030701,01051
336,01051030702,01051
337,01051030801,01051
338,01051030802,01051
339,01051030901,01051
340,01051030902,01051
341,01051031001,01051
342,01051031002,01051
343,01051031100,01051
344,01051031200,01051
345,01051031300,01051
346,01053969801,01053
347,01053969802,01053
348,01053969900,01053
349,01053970100,01053
350,01053970200,01053
351,01053970300,01053
352,01053970400,01053
353,01053970500,01053
354,01053970600,01053
355,01053970700,01053
356,01055000200,01055
357,01055000300,01055
358,01055000400,01055
359,01055000500,01055
360,01055000600,01055
361,01055000700,01055
362,01055000800,01055
363,01055000900,01055
364,01055001000,01055
365,01055001100,01055
366,01055001200,01055
367,01055001300,01055
368,01055001600,01055
369,01055001700,01055
370,01055010100,01055
371,01055010201,01055
372,01055010202,01055
373,01055010300,01055
374,01055010401,01055
375,01055010402,01055
376,01055010503,01055
377,01055010504,01055
378,01055010505,01055
379,01055010506,01055
380,01055010601,01055
381,01055010602,01055
382,01055010700,01055
383,01055010800,01055
384,01055010900,01055
385,01055011001,01055
386,01055011002,01055
387,01055011100,01055
388,01055011200,01055
389,01057020000,01057
390,01057020100,01057
391,01057020200,01057
392,01057020300,01057
393,01057020400,01057
394,01059972900,01059
395,01059973000,01059
396,01059973100,01059
397,01059973200,01059
398,01059973300,01059
399,01059973400,01059
400,01059973500,01059
401,01059973600,01059
402,01059973701,01059
403,01059973702,01059
404,01059973703,01059
405,01061050100,01061
406,01061050200,01061
407,01061050300,01061
408,01061050400,01061
409,01061050500,01061
410,01061050600,01061
411,01063060000,01063
412,01063060101,01063
413,01063060102,01063
414,01063060200,01063
415,01065040000,01065
416,01065040100,01065
417,01065040200,01065
418,01065040300,01065
419,01065040401,01065
420,01065040402,01065
421,01065040500,01065
422,01067030100,01067
423,01067030200,01067
424,01067030300,01067
425,01067030400,01067
426,01067030500,01067
427,01067030600,01067
428,01069040100,01069
429,01069040203,01069
430,01069040204,01069
431,01069040205,01069
432,01069040206,01069
433,01069040301,01069
434,01069040302,01069
435,01069040400,01069
436,01069040500,01069
437,01069040600,01069
438,01069040700,01069
439,01069040801,01069
440,01069040802,01069
441,01069040900,01069
442,01069041000,01069
443,01069041100,01069
444,01069041200,01069
445,01069041400,01069
446,01069041500,01069
447,01069041600,01069
448,01069041700,01069
449,01069041800,01069
450,01069041901,01069
451,01069041902,01069
452,01069042000,01069
453,01069042100,01069
454,01071950101,01071
455,01071950102,01071
456,01071950200,01071
457,01071950301,01071
458,01071950302,01071
459,01071950400,01071
460,01071950500,01071
461,01071950601,01071
462,01071950602,01071
463,01071950700,01071
464,01071950800,01071
465,01071950901,01071
466,01071950902,01071
467,01071951000,01071
468,01071951101,01071
469,01071951102,01071
470,01073000100,01073
471,01073000300,01073
472,01073000400,01073
473,01073000500,01073
474,01073000700,01073
475,01073000800,01073
476,01073001100,01073
477,01073001200,01073
478,01073001400,01073
479,01073001500,01073
480,01073001600,01073
481,01073001902,01073
482,01073002000,01073
483,01073002100,01073
484,01073002200,01073
485,01073002303,01073
486,01073002305,01073
487,01073002306,01073
488,01073002401,01073
489,01073002402,01073
490,01073002701,01073
491,01073002702,01073
492,01073002900,01073
493,01073003001,01073
494,01073003002,01073
495,01073003100,01073
496,01073003200,01073
497,01073003300,01073
498,01073003400,01073
499,01073003500,01073
500,01073003600,01073
501,01073003700,01073
502,01073003802,01073
503,01073003803,01073
504,01073003900,01073
505,01073004000,01073
506,01073004200,01073
507,01073004501,01073
508,01073004502,01073
509,01073004701,01073
510,01073004702,01073
511,01073004800,01073
