zipcode,city,state,ST,county
501,Holtsville,New York,NY,Suffolk County
544,Holtsville,New York,NY,Suffolk County
1001,Agawam,Massachusetts,MA,Hampden County
1002,Amherst,Massachusetts,MA,Hampshire County
1003,Amherst,Massachusetts,MA,Hampshire County
1004,Amherst,Massachusetts,MA,Hampshire County
1005,Barre,Massachusetts,MA,Worcester County
1007,Belchertown,Massachusetts,MA,Hampshire County
1008,Blandford,Massachusetts,MA,Hampden County
1009,Bondsville,Massachusetts,MA,Hampden County
1010,Brimfield,Massachusetts,MA,Hampden County
1011,Chester,Massachusetts,MA,Hampden County
1012,Chesterfield,Massachusetts,MA,Hampshire County
1013,Chicopee,Massachusetts,MA,Hampden County
1014,Chicopee,Massachusetts,MA,Hampden County
1020,Chicopee,Massachusetts,MA,Hampden County
1021,Chicopee,Massachusetts,MA,Hampden County
1022,Chicopee,Massachusetts,MA,Hampden County
1026,Cummington,Massachusetts,MA,Hampshire County
1027,Easthampton,Massachusetts,MA,Hampshire County
1028,East Longmeadow,Massachusetts,MA,Hampden County
1029,East Otis,Massachusetts,MA,Berkshire County
1030,Feeding Hills,Massachusetts,MA,Hampden County
1031,Gilbertville,Massachusetts,MA,Worcester County
1032,Goshen,Massachusetts,MA,Hampshire County
1033,Granby,Massachusetts,MA,Hampshire County
1034,Granville,Massachusetts,MA,Hampden County
1035,Hadley,Massachusetts,MA,Hampshire County
1036,Hampden,Massachusetts,MA,Hampden County
1037,Hardwick,Massachusetts,MA,Worcester County
1038,Hatfield,Massachusetts,MA,Hampshire County
1039,Haydenville,Massachusetts,MA,Hampshire County
1040,Holyoke,Massachusetts,MA,Hampden County
1041,Holyoke,Massachusetts,MA,Hampden County
1050,Huntington,Massachusetts,MA,Hampshire County
1053,Leeds,Massachusetts,MA,Hampshire County
1054,Leverett,Massachusetts,MA,Franklin County
1056,Ludlow,Massachusetts,MA,Hampden County
1057,Monson,Massachusetts,MA,Hampden County
1059,North Amherst,Massachusetts,MA,Hampshire County
1060,Northampton,Massachusetts,MA,Hampshire County
1061,Northampton,Massachusetts,MA,Hampshire County
1062,Florence,Massachusetts,MA,Hampshire County
1063,Northampton,Massachusetts,MA,Hampshire County
1066,North Hatfield,Massachusetts,MA,Hampshire County
1068,Oakham,Massachusetts,MA,Worcester County
1069,Palmer,Massachusetts,MA,Hampden County
1070,Plainfield,Massachusetts,MA,Hampshire County
1071,Russell,Massachusetts,MA,Hampden County
1072,Shutesbury,Massachusetts,MA,Franklin County
1073,Southampton,Massachusetts,MA,Hampshire County
1074,South Barre,Massachusetts,MA,Worcester County
1075,South Hadley,Massachusetts,MA,Hampshire County
1077,Southwick,Massachusetts,MA,Hampden County
1079,Thorndike,Massachusetts,MA,Hampden County
1080,Three Rivers,Massachusetts,MA,Hampden County
1081,Wales,Massachusetts,MA,Hampden County
1082,Ware,Massachusetts,MA,Hampshire County
1083,Warren,Massachusetts,MA,Worcester County
1084,West Chesterfield,Massachusetts,MA,Hampshire County
1085,Westfield,Massachusetts,MA,Hampden County
1086,Westfield,Massachusetts,MA,Hampden County
1088,West Hatfield,Massachusetts,MA,Hampshire County
1089,West Springfield,Massachusetts,MA,Hampden County
1090,West Springfield,Massachusetts,MA,Hampden County
1092,West Warren,Massachusetts,MA,Worcester County
1093,Whately,Massachusetts,MA,Franklin County
1094,Wheelwright,Massachusetts,MA,Worcester County
1095,Wilbraham,Massachusetts,MA,Hampden County
1096,Williamsburg,Massachusetts,MA,Hampshire County
1097,Woronoco,Massachusetts,MA,Hampden County
1098,Worthington,Massachusetts,MA,Hampshire County
1101,Springfield,Massachusetts,MA,Hampden County
1102,Springfield,Massachusetts,MA,Hampden County
1103,Springfield,Massachusetts,MA,Hampden County
1104,Springfield,Massachusetts,MA,Hampden County
1105,Springfield,Massachusetts,MA,Hampden County
1106,Longmeadow,Massachusetts,MA,Hampden County
1107,Springfield,Massachusetts,MA,Hampden County
1108,Springfield,Massachusetts,MA,Hampden County
1109,Springfield,Massachusetts,MA,Hampden County
1111,Springfield,Massachusetts,MA,Hampden County
1115,Springfield,Massachusetts,MA,Hampden County
1116,Longmeadow,Massachusetts,MA,Hampden County
1118,Springfield,Massachusetts,MA,Hampden County
1119,Springfield,Massachusetts,MA,Hampden County
1128,Springfield,Massachusetts,MA,Hampden County
1129,Springfield,Massachusetts,MA,Hampden County
1133,Springfield,Massachusetts,MA,Hampden County
1138,Springfield,Massachusetts,MA,Hampden County
1139,Springfield,Massachusetts,MA,Hampden County
1144,Springfield,Massachusetts,MA,Hampden County
1151,Indian Orchard,Massachusetts,MA,Hampden County
1152,Springfield,Massachusetts,MA,Hampden County
